file,filepath,status,reviewer,exclude,notes
2045_phonemes_20240411_044926,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/2045_phonemes_20240411_044926,,,,
2051_phonemes_20240603_110301,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/2051_phonemes_20240603_110301,,,,
Phonemes_2040_20240306_061733,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/Phonemes_2040_20240306_061733,,,,
Phonemes_2042_20240222_112221,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/Phonemes_2042_20240222_112221,,,,
Phonemes_2061_20240722_014758,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/Phonemes_2061_20240722_014758,,,,
phonemes_2027_20231218,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2027_20231218,,,,
phonemes_2028_20231221,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2028_20231221,,,,
phonemes_2029_20231221,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2029_20231221,,,,
phonemes_2030_20240108_104424,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2030_20240108_104424,,,,
phonemes_2032_20240117_052236,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2032_20240117_052236,,,,
phonemes_2033_20240117_043649,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2033_20240117_043649,,,,
phonemes_2035_20240202_021102,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2035_20240202_021102,,,,
phonemes_2036_20240205_125430,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2036_20240205_125430,,,,
phonemes_2036_day_2_20240220_104637,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2036_day_2_20240220_104637,,,,
phonemes_2037_20240212_013621,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2037_20240212_013621,,,,
phonemes_2038_20240216_035655,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2038_20240216_035655,,,,
phonemes_2041_20240222_122810,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2041_20240222_122810,,,,
phonemes_2043_20240328_114345,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2043_20240328_114345,,,,
phonemes_2044_20240227_031628,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2044_20240227_031628,,,,
phonemes_2046_20240430_031517,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2046_20240430_031517,,,,
phonemes_2047_20240430_022422,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2047_20240430_022422,,,,
phonemes_2048_20240610_022005,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2048_20240610_022005,,,,
phonemes_2049_20240610_030542,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2049_20240610_030542,,,,
phonemes_2050_20240606_110702,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2050_20240606_110702,,,,
phonemes_2051_20240731_112627,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2051_20240731_112627,,,,
phonemes_2052_20240605_105654,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2052_20240605_105654,,,,
phonemes_2053_20240610_123904,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2053_20240610_123904,,,,
phonemes_2053_20240729_012119,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2053_20240729_012119,,,,
phonemes_2054_20240620_112330,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2054_20240620_112330,,,,
phonemes_2055_20240626_102716,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2055_20240626_102716,,,,
phonemes_2056_20240708_093753,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2056_20240708_093753,,,,
phonemes_2057_20240709_034517,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2057_20240709_034517,,,,
phonemes_2058_20240717_014519,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2058_20240717_014519,,,,
phonemes_2059_20240801_121559,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2059_20240801_121559,,,,
phonemes_2060_20240801_014149,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2060_20240801_014149,,,,
phonemes_2062_20240725_113431,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2062_20240725_113431,,,,
phonemes_2063_20240802_023211,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2063_20240802_023211,,,,
phonemes_2064_20240802_031713,/Volumes/UBUNTU18/USC/listen/derivatives/pylossless/run-01/phonemes_2064_20240802_031713,,,,
